,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,link
0,Data Entry,$19.00 /hr (est.),"-Typing (80%)
-Standing (10%)
-Walking (10%)
Job Type: Full-time
Salary: $19.00 per hour
Benefits:
401(k)
Dental insurance
Health insurance

Show More
Report",3.8,"HonorVet Technologies
3.8","Bloomfield, CT",Unknown,-1,Company - Private,Staffing & Subcontracting,Human Resources & Staffing,Unknown / Non-Applicable,https://honorvettech.com/
1,(REMOTE) DATA ENTRY POSITION,"$30,154 /yr (est.)","Through our dedicated associates, Conduent delivers mission-critical services and solutions on behalf of Fortune 100 companies and over 500 governments – creating exceptional outcomes for our clients and the millions of people who count on them.
You have an opportunity to personally thrive, make a difference and be part of a culture where individuality is noticed and valued every day.
(REMOTE) DATA ENTRY POSITION
Second Shift – Monday thru Friday 3:00 pm to 11:30 pm
- Third Shift – Sunday - Thursday 8:00 pm to 4:30 am
14.50 DURING TRAINING PLUS INCENTIVES AFTER TRAINING
GREAT BENIFITS
must type 40 wpm or better
Job Track Description:
Performs business support or technical work, using data organizing and coordination skills.
Show More
Report",3.1,"Conduent
3.1","London, KY",10000+ Employees,2017,Company - Public,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,http://www.conduent.com/
2,Data Entry/Office Coordinator,$18.00 /hr (est.),"Job Location: onsite in Independence , OR, 97351

Job Title: Data Entry/Office Coordinator

Job Type: 12 Months Contract

PAY RATE: $18.00/hr

Summary

Need someone who is energetic and wants to learn. The client needs a data entry person. Kind of a helper of all and will do anything that needs to be done but mostly data entry.

Roles Responsibilities

??

Required Skills

Data Entry

Work Authorization

Show More
Report",-1,Stratford Solutions Inc.,"Independence, OR",1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,http://www.stratfordsolutionsinc.com/
3,Data Entry - Remote APPLY NOW,-1,"Job Description:

Entering data from one system to another system.
Filling out forms.
Identifying errors; working on process improvements.

Ensure data entry and reporting conforms to established procedures, protocols, and time requirements; resolve data entry and reporting errors, follow established procedures to ensure data accuracy and integrity; recommend process improvements to better respond to program operating needs.





Show More
Report",-1,Lake and Wetland Ecosystems,"New York, NY",-1,-1,-1,-1,-1,-1,-1
4,Data Entry,$25.00 /hr (est.),"Required Skills / Qualifications:
Previous Data entry experience
Strong Data entry alpha numeric skills
Professional written and oral communication
Job Types: Contract, Temporary
Salary: Up to $25.00 per hour
Schedule:
8 hour shift
Show More
Report",3.5,"Acara Solutions
3.5","Mt Holly Springs, PA",10000+ Employees,1957,Company - Private,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable,http://www.acarasolutions.com/
5,Entry-Level Data Entry (%100 Remote),-1,"This prestigious company is looking for detail-oriented individuals to bring onto their growing team.
As an Entry-Level Data Entry employee, you will have the opportunity to work in multiple departments and assist with the onboarding process of new clients. It is a great opportunity to expand your skill set and learn about the ins and outs of a healthcare organization!

Entry-Level Data Entry Responsibilities

Sift through a high volume of documents and paperwork and input necessary details into their database
Utilize basic excel to identify any discrepancies



Show More
Report",-1,Lake and Wetland Ecosystems,"New York, NY",-1,-1,-1,-1,-1,-1,-1
6,"Data Entry Analyst (Washington, DC Metro Area)",-1,"Shift Options:
1: Sunday through Thursday (4pm eastern - 12am eastern)
2: Tuesday through Saturday (4pm eastern - 12am eastern)

Overview
NikSoft Systems Corporation is a recognized Information Technology solutions provider. Founded in 1998 and based in Reston, Virginia, NikSoft is a CMMI Level 3 Certified company with an established reputation for excellence and on-time delivery with a consistently high customer satisfaction rating from its Federal Government and private consulting contracts.




Show More
Report",3.4,"NikSoft Systems Corp.
3.4",Remote,51 to 200 Employees,1998,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD),http://www.niksoft.com/
7,Medical Data Entry,$17.00 /hr (est.),"Role & Responsibilities:
High School Diploma or equivalent.
Alpha - numeric keystrokes per hour and type 25 wpm.
Must be able to read, interpret and speak English.
Ability to pay close attention to detail, work with speed and accuracy under pressure of heavy workloads and deadlines
Proficient with data entry and 10 key
Ability to navigate ambiguity and understand complex instructions to make decisions
Strong critical-thinking and problem-solving skills
Show More
Report",2.5,"ILabz Technology
2.5","College Park, GA",51 to 200 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,http://www.ilabztechnology.com/
8,Junior Customer Support/Data Entry Technician - REMOTE,$16.11 /hr (est.),"We currently have an excellent remote opportunity for entry level candidates with strong data entry and customer support background. This is a contractual role for 1 year with possibility of extending 4 additional years based upon performance. Apply TODAY for immediate consideration and scheduling of an initial phone interview! U.S. citizenship required.
PLEASE NOTE: The payrate for this remote position is $18.22 (base rate = $14.00 + Health and Welfare = $4.22) *Health and Welfare covers the cost of health benefits. If you do not need benefits, the $4.22 is added to the base rate.

Our federal client operates a hotline program to receive and process allegations of fraud, waste, and abuse concerning grants, contracts, programs, and operations; hotline team members will support core mission functions of the agency, using government staff resources.

Show More
Report",4.0,"AdNet AccountNet, Inc.
4.0",Remote,1 to 50 Employees,1990,Company - Private,HR Consulting,Human Resources & Staffing,$1 to $5 million (USD),http://www.adnetp3.com/
9,Data Entry Operator,"$38,839 /yr (est.)","Role Purpose:

Operates a data entry device to input lists of items; alphabetic, numeric, or symbolic, into an electronic format. Responsible for entering data in a timely and accurate manner.

Key Accountabilities:

Collects, reviews, and inputs data into a computer processing system.
Compares data entered with source documents, or re-enters data in verification format on screen to detect errors.




Brand: DHL
Address: 5337 S Wheeler Ridge Rd Unit A Arvin, CA - 93203
Property Description: 5404 - Arvin CA WERC
Property Number: 5404
Show More
Report",3.8,"DHL | Supply Chain
3.8","Arvin, CA",10000+ Employees,1969,Company - Private,Shipping & Trucking,Transportation & Logistics,$10+ billion (USD),https://www.dhl.com/
